<Fe>,,,,Aplica tambien para ,,,,,
,,<Ciudad>,,,1.1,,Nombre del municipio,,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:CityName
,,<CodigoPostal>,,,1.1,,Código Postal,,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:PostalZone
,,<Departamento>,,,1.1,,Nombre del departamento,,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:CountrySubentity
,,<IdDepartamento>,,,1.1,,Código del departamento,13.4.2. Departamentos (ISO 3166-2:CO),cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:CountrySubentityCode
,,<Direccion>,,,0.1,,Texto libre con la dirección,,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:AddressLine/cbc:Line
,,<CodigoPais>,,,1,,Código del Pais,13.4.1. Países (ISO 3166-1): ** Link ISO 3166-1 de Wikipedia,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode/cac:RegistrationAddress/cbc:Country/cbc:IdentificationCode
,,<Pais>,,,1,,Nombre del Pais,,cac:AccountingCustomerParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:ID
,,<IdMunicipioPhysicalLocation>,,,0..1,,Código del municipio,13.4.3. Municipios ** Buscar link codigos de municipios DANE,cac:AccountingCustomerParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:CityName
,,<CiudadPhysicalLocation>,,,0..1,,Nombre del municipio,,cac:AccountingCustomerParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:PostalZone
,,<CodigoPostalPhysicalLocation>,,,0..1,,Código Postal,,cac:AccountingCustomerParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:CountrySubentity
,,<IdDepartamentoPhysicalLocation>,,,0..1,,Código del departamento,13.4.2. Departamentos (ISO 3166-2:CO),cac:AccountingCustomerParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:CountrySubentityCode
,,<DepartamentoPhysicalLocation>,,,0..1,,Nombre del departamento,,cac:AccountingCustomerParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:AddressLine/cbc:Line
,,<DireccionPhysicalLocation>,,,0..1,,Texto libre con la dirección,,cac:AccountingCustomerParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:Country/cbc:IdentificationCode
,,<CodigoPaisPhysicalLocation>,,,0..1,,Código del Pais,13.4.1. Países (ISO 3166-1): ** Link ISO 3166-1 de Wikipedia,cac:AccountingSupplierParty/cac:Party/cac:PhysicalLocation/cac:Address/cbc:Country/cbc:Name
,,<PaisPhysicalLocation>,,,0..1,,Nombre del Pais,,cac:AccountingCustomerParty/cac:Party/cac:Party/cac:Contact/cbc:ElectronicMail
,,<Email>,,,1.1,,Correo electrónico de contacto,,
,</Receptor>,,,,,,,,
,<ContactoReceptor>,,,,0.1,,,,
,,<NombreContacto/>,,,0.1,,,,cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name
,,<TelefonoContacto/>,,,0.1,,,,cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone
,,<EmailContacto/>,,,0.1,,,,cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail
,,<Nota/>,,,0.1,,,,cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Note
,</ContactoReceptor>,,,,,,,,
,<OyRReceptor>,,,,0..*,,Obligaciones y responsabilidades del receptor,,
,,<CodigoOyR>,,Documento Soporte,1,,Codigo Dian correspondiente a la obligación o responsabilidad,13.2.6.1. Responsabilidades y Obligaciones,cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode
,</OyReceptor>,,,,,,,,
,<Mandatos>,,,,0..1,,Lista de Mandantes que se referencian en los detalle del documento,,cac:InformationContentProviderParty
,,<NumeroRefMandato/>,,,1,,Numero de referencia para identificar el mandato.,,
,,<NumeroContrato/>,,,0..1,,Numero de contrato del mandato,,
,,<TipoIdentificacionMandato/>,,,1..1,,Tipo de Identificación del mandante,13.2.1. Documento de identificación (Tipo de Identificador Fiscal),cac:InformationContentProviderParty/cac:PowerOfAttorney/cac:AgentParty/cac:PartyIdentification/cbc:ID@schemeName
,,<IdentificacionMandato>,,,1..1,,Numero de identificación del mandante,,cac:InformationContentProviderParty/cac:PowerOfAttorney/cac:AgentParty/cac:PartyIdentification/cbc:ID
,,<DvMandato>,,,0..1,,Digito de verificación del Mandante,,cac:InformationContentProviderParty/cac:PowerOfAttorney/cac:AgentParty/cac:PartyIdentification/cbc:ID@schemeID
,</Mandatos>,,,,,,,,
,<Transportista>,,,,0..1,,Información del transportista,,
,,<TipoOrganizacion>,,,0..1,,Código dian para el tipo de organización jurídica,13.2.3. Tipo de organización jurídica (Personas): cbc:AdditionalAccountID,cac:/Delivery/cac:DeliveryParty/cbc:AdditionalAccountID
,,<TipoIdentificacion>,,,1,,Código Dian para el tipo de documento de identificación,13.2.1. Documento de identificación (Tipo de Identificador Fiscal),cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyId@schemeName
,,<Identificacion>,,,1,,Identificación,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyId
,,<Dv>,,,0..1,,Dígito de verificación del numero de identificación (cuando aplica),,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyId@schemeID
,,<RazonSocial>,,,1,,Razon social,,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:RegistrationName
,,<Regimen>,,,0..1,,Código del tipo de régimen fiscal,6.2.4. Régimen Fiscal,cac:/Delivery/cac:DeliveryParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode@listName
